date_utc,price_usd,high_usd,low_usd,source
2025-05-09,1.000000,1.000300,0.999800,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-05-10,1.000000,1.000000,0.999800,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-05-11,0.999800,1.000000,0.999700,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-05-12,0.999900,1.000100,0.999700,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-05-13,0.999900,1.000100,0.999600,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-05-14,0.999800,1.000100,0.999700,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-05-15,0.999800,0.999900,0.999600,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-05-16,0.999600,0.999800,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-05-17,0.999500,0.999700,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-05-18,0.999600,0.999700,0.999400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-05-19,0.999600,0.999800,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-05-20,0.999500,0.999800,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-05-21,0.999500,0.999600,0.999200,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-05-22,0.999800,1.000000,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-05-23,0.999800,1.000000,0.999600,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-05-24,0.999600,0.999800,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-05-25,0.999500,0.999700,0.999400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-05-26,0.999500,0.999600,0.999400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-05-27,0.999400,0.999800,0.999300,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-05-28,0.999700,0.999700,0.999400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-05-29,0.999900,0.999900,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-05-30,0.999600,1.000000,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-05-31,0.999500,0.999600,0.999400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-06-01,0.999400,0.999500,0.999300,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-06-02,0.999500,0.999600,0.999300,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-06-03,0.999300,0.999500,0.999100,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-06-04,0.999300,0.999500,0.999200,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-06-05,0.999400,0.999900,0.999300,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-06-06,0.999200,0.999600,0.999000,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-06-07,0.999400,0.999500,0.999100,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-06-08,0.999500,0.999500,0.999300,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-06-09,0.999600,0.999600,0.999300,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-06-10,0.999700,0.999800,0.999400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-06-11,0.999600,0.999900,0.999600,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-06-12,0.999500,0.999900,0.999400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-06-13,0.999400,0.999600,0.999000,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-06-14,0.999400,0.999600,0.999400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-06-15,0.999700,0.999800,0.999400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-06-16,0.999400,0.999900,0.999400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-06-17,0.999700,0.999800,0.999400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-06-18,0.999700,0.999900,0.999600,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-06-19,0.999800,0.999800,0.999600,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-06-20,0.999900,1.000000,0.999700,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-06-21,0.999600,0.999900,0.999600,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-06-22,0.999700,0.999800,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-06-23,0.999300,0.999800,0.999200,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-06-24,0.999600,0.999600,0.999200,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-06-25,0.999500,0.999600,0.999400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-06-26,0.999500,0.999700,0.999300,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-06-27,0.999600,0.999800,0.999400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-06-28,0.999600,0.999700,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-06-29,0.999700,0.999800,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-06-30,0.999700,1.000000,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-07-01,0.999700,0.999900,0.999600,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-07-02,0.999600,0.999900,0.999200,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-07-03,0.999600,0.999800,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-07-04,0.999800,0.999900,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-07-05,0.999700,0.999800,0.999600,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-07-06,0.999900,0.999900,0.999600,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-07-07,0.999800,1.000000,0.999700,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-07-08,0.999800,1.000100,0.999700,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-07-09,0.999700,0.999900,0.999600,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-07-10,0.999800,1.000000,0.999100,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-07-11,0.999600,1.000000,0.999400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-07-12,0.999700,0.999800,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-07-13,0.999600,0.999700,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-07-14,0.999800,1.000000,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-07-15,0.999900,1.000300,0.999700,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-07-16,0.999500,1.000000,0.999300,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-07-17,0.999200,0.999600,0.999200,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-07-18,0.999300,0.999600,0.999000,binance.com/api/v3/klines USDCUSDT 1d ohlc
